customer_id,cpf_hash,name,email,phone,city,state,created_at,status,ingestion_timestamp,source_file,row_number,is_valid,error_msg
C0037,hash_0037_5861,Leticia Lima,leticia.lima@empresa.com.br,21935487660,Uberlândia,MG,2024-06-27,active,2026-05-11T14:13:19.836816+00:00,data/raw/customers.csv,37,true,
C0038,hash_0038_1821,Henrique Silva,henrique.silva@email.com,31917672593,Salvador,BA,2024-07-07,blocked,2026-05-11T14:13:19.836824+00:00,data/raw/customers.csv,38,true,
C0039,hash_0039_2312,Sofia Almeida,sofia.almeida@gmail.com,11978159587,Londrina,PR,2024-08-23,active,2026-05-11T14:13:19.836831+00:00,data/raw/customers.csv,39,true,
C0040,hash_0040_5033,Daniel Costa,daniel.costa@gmail.com,41926090908,Salvador,BA,2024-01-18,blocked,2026-05-11T14:13:19.836839+00:00,data/raw/customers.csv,40,true,
C0041,hash_0041_9565,Amanda Pereira,,41998231132,São Paulo,SP,2024-06-07,active,2026-05-11T14:13:19.836849+00:00,data/raw/customers.csv,41,true,
C0042,hash_0042_7484,Murilo Cardoso,murilo.cardoso@outlook.com,21945650176,Niterói,RJ,2024-02-22,active,2026-05-11T14:13:19.836857+00:00,data/raw/customers.csv,42,true,
C0043,hash_0043_8508,Paula Oliveira,paula.oliveira@outlook.com,11911250299,Niterói,RJ,2024-04-27,blocked,2026-05-11T14:13:19.836866+00:00,data/raw/customers.csv,43,true,
C0044,hash_0044_3170,Ricardo Pereira,ricardo.pereira@gmail.com,71945594597,Campinas,SP,2024-01-19,active,2026-05-11T14:13:19.836873+00:00,data/raw/customers.csv,44,true,
C0045,hash_0045_3584,Débora Cardoso,debora.cardoso@gmail.com,31948250360,Campinas,SP,2024-08-13,inactive,2026-05-11T14:13:19.836885+00:00,data/raw/customers.csv,45,true,
C0046,hash_0046_9666,Alexandre Barbosa,alexandre.barbosa@outlook.com,71997775215,Londrina,PR,2024/06/29,active,2026-05-11T14:13:19.836894+00:00,data/raw/customers.csv,46,true,
C0047,hash_0047_2891,Luana Oliveira,luana.oliveira@email.com,21945496015,Londrina,PR,2024-03-17,active,2026-05-11T14:13:19.836903+00:00,data/raw/customers.csv,47,true,
C0048,hash_0048_4450,Samuel Souza,samuel.souza@outlook.com,31991178885,Londrina,PR,2024-02-09,active,2026-05-11T14:13:19.836911+00:00,data/raw/customers.csv,48,true,
C0049,hash_0049_2512,Mirela Santos,mirela.santos@empresa.com.br,31916818112,Niterói,RJ,2024-05-09,inactive,2026-05-11T14:13:19.836920+00:00,data/raw/customers.csv,49,true,
C0050,hash_0050_5291,Otávio Barbosa,otávio.barbosa@email.com,31927558317,Niterói,RJ,2024-01-12,active,2026-05-11T14:13:19.836939+00:00,data/raw/customers.csv,50,true,
C0051,hash_0051_2832,Ana Souza,ana.souza@empresa.com.br,71911297845,Curitiba,PR,21/05/2024,active,2026-05-11T14:13:19.836954+00:00,data/raw/customers.csv,51,true,
C0052,hash_0052_3426,Bruno Cardoso,bruno.cardoso@email.com,31988183110,Santos,SP,,inactive,2026-05-11T14:13:19.836965+00:00,data/raw/customers.csv,52,true,
C0053,hash_0053_4441,Carla Mendes,carla.mendes@outlook.com,11958024342,São Paulo,SP,2024-03-19,active,2026-05-11T14:13:19.836977+00:00,data/raw/customers.csv,53,true,
C0054,hash_0054_4878,Diego Oliveira,diego.oliveira@empresa.com.br,71930743797,Campinas,SP,2024-03-31,active,2026-05-11T14:13:19.836986+00:00,data/raw/customers.csv,54,true,
C0055,hash_0055_6442,Fernanda Nunes,fernanda.nunes@empresa.com.br,11934073380,Santos,SP,2024-08-13,inactive,2026-05-11T14:13:19.836996+00:00,data/raw/customers.csv,55,true,
C0056,hash_0056_1634,Gabriel Nunes,gabriel.nunes@gmail.com,11961343880,Rio de Janeiro,RJ,2024-03-09,inactive,2026-05-11T14:13:19.837004+00:00,data/raw/customers.csv,56,true,
C0057,hash_0057_4728,Helena Santos,helena.santos@empresa.com.br,31950962024,Rio de Janeiro,RJ,2024-07-28,active,2026-05-11T14:13:19.837012+00:00,data/raw/customers.csv,57,true,
C0058,hash_0058_5573,Igor Silva,igor.silva@outlook.com,31919317495,Rio de Janeiro,RJ,2024-04-12,active,2026-05-11T14:13:19.837020+00:00,data/raw/customers.csv,58,true,
C0059,hash_0059_5279,Juliana Oliveira,juliana.oliveira@outlook.com,11925480907,Londrina,PR,2024-04-12,active,2026-05-11T14:13:19.837030+00:00,data/raw/customers.csv,59,true,
C0060,hash_0060_6663,Lucas Pereira,lucas.pereira@email.com,71968326160,Niterói,RJ,2024-01-10,active,2026-05-11T14:13:19.837038+00:00,data/raw/customers.csv,60,true,
C0005,hash_0005_7224,Fernanda Lima,fernanda.lima.updated@email.com,11922448136,Santos,SP,2024-02-25,active,2026-05-11T14:13:19.837046+00:00,data/raw/customers.csv,61,true,
C0015,hash_0015_3266,Camila Souza,camila.souza@empresa.com.br,11999990000,Salvador,BA,2024-04-19,active,2026-05-11T14:13:19.837054+00:00,data/raw/customers.csv,62,true,
C0030,hash_0030_2545,Caio Pereira,,41935556386,Curitiba,PR,2024-03-03,inactive,2026-05-11T14:13:19.837062+00:00,data/raw/customers.csv,63,true,
C0045,hash_0045_3584,Débora Cardoso,debora.cardoso@gmail.com,31948250360,São Paulo,SP,2024-08-13,inactive,2026-05-11T14:13:19.837073+00:00,data/raw/customers.csv,64,true,
